"zipcode","year","tc","gradrate","Income","size"
10462,2003,3084,65.3,,
10462,2004,2957,61.5,,
10462,2005,2840,49,,
10462,2006,2709,67.4,,
10462,2007,2592,61.8,,
10462,2008,2574,56.4,,
10462,2009,2423,61.7,,
10462,2010,2306,57.4,,
10462,2011,2382,52.1,"55,313",2.53
10472,2001,3329,56.5,,
10472,2002,3220,45.7,,
10472,2003,3084,48.7,,
10472,2004,2957,60,,
10472,2005,2840,59.5,,
10472,2006,2709,61.2,,
10472,2007,2592,47.5,,
10472,2008,2574,47,,
10472,2009,2423,47.5,,
10472,2010,2306,56.23,,
10472,2011,2382,75.62,"43,989",2.99
10473,2001,3329,59.1,,
10473,2002,3220,41.6,,
10473,2003,3084,49.5,,
10473,2004,2957,52.1,,
10473,2005,2840,51.8,,
10473,2006,2709,52.7,,
10473,2007,2592,48,,
10473,2008,2574,47.4,,
10473,2009,2423,46.9,,
10473,2010,2306,41.86,,
10473,2011,2382,48.79,"53,120",2.83
10452,2001,2895,,,
10452,2002,2764,,,
10452,2003,2505,,,
10452,2004,2440,,,
10452,2005,2350,,,
10452,2006,2289,"$",,
10452,2007,2217,"$",,
10452,2008,2167,,,
10452,2009,2046,,,
10452,2010,1994,,,
10452,2011,2072,,"35,555",3
10456,2001,2895,58.7,,
10456,2002,2764,54.5,,
10456,2003,2505,59.8,,
10456,2004,2440,65.9,,
10456,2005,2350,65.9,,
10456,2006,2289,66.5,,
10456,2007,2217,62.1,,
10456,2008,2167,65.2,,
10456,2009,2046,61.9,,
10456,2010,1994,54.95,,
10456,2011,2072,68.35,"34,536",2.98
10464,2001,1890,,,
10464,2002,1845,,,
10464,2003,1763,,,
10464,2004,1756,,,
10464,2005,1550,,,
10464,2006,1508,"$",,
10464,2007,1434,"$",,
10464,2008,1411,,,
10464,2009,1443,,,
10464,2010,1434,,,
10464,2011,1276,,"90,265",2.16
10465,2001,1890,,,
10465,2002,1845,,,
10465,2003,1763,,,
10465,2004,1756,,,
10465,2005,1550,,,
10465,2006,1508,"$",,
10465,2007,1434,"$",,
10465,2008,1411,,,
10465,2009,1443,,,
10465,2010,1434,,,
10465,2011,1276,,"82,114",2.57
10453,2001,2893,,,
10453,2002,2790,,,
10453,2003,2646,,,
10453,2004,2560,,,
10453,2005,2524,,,
10453,2006,2154,"$",,
10453,2007,2028,"$",,
10453,2008,1820,86,,
10453,2009,1568,59.6,,
10453,2010,1516,90.9,,
10453,2011,1614,94.3,"33,985",3.02
10468,2001,2893,58.8,,
10468,2002,2790,50,,
10468,2003,2646,58.9,,
10468,2004,2560,66.4,,
10468,2005,2524,64.6,,
10468,2006,2154,66.1,,
10468,2007,2028,63.9,,
10468,2008,1820,64.8,,
10468,2009,1568,65.6,,
10468,2010,1516,74.96,,
10468,2011,1614,73.34,"43,225",2.98
10466,2001,2306,,,
10466,2002,2081,,,
10466,2003,2100,,,
10466,2004,2061,69.7,,
10466,2005,2049,69.7,,
10466,2006,1998,68.9,,
10466,2007,1904,65.7,,
10466,2008,1960,65.2,,
10466,2009,1888,64.6,,
10466,2010,1965,72.16,,
10466,2011,1975,74,"55,669",2.87
10470,2001,2306,,,
10470,2002,2081,,,
10470,2003,2100,,,
10470,2004,2061,,,
10470,2005,2049,,,
10470,2006,1998,,,
10470,2007,1904,,,
10470,2008,1960,,,
10470,2009,1888,,,
10470,2010,1965,,,
10470,2011,1975,,"70,004",2.38
10475,2001,2306,57.9,,
10475,2002,2081,,,
10475,2003,2100,,,
10475,2004,2061,71.3,,
10475,2005,2049,71.2,,
10475,2006,1998,72.2,,
10475,2007,1904,67.6,,
10475,2008,1960,66.3,,
10475,2009,1888,65.2,,
10475,2010,1965,81.55,,
10475,2011,1975,79.8,"59,944",2.15
10457,2001,1917,,,
10457,2002,1921,55.3,,
10457,2003,1809,59,,
10457,2004,1732,69.2,,
10457,2005,1603,71,,
10457,2006,1652,69.7,,
10457,2007,1625,67.6,,
10457,2008,1580,65.7,,
10457,2009,1519,63.7,,
10457,2010,1490,43.61,,
10457,2011,1482,53.43,"36,013",2.97
10460,2001,1917,58.7,,
10460,2002,1921,41.8,,
10460,2003,1809,46.8,,
10460,2004,1732,57.5,,
10460,2005,1603,57.5,,
10460,2006,1652,59.9,,
10460,2007,1625,51.2,,
10460,2008,1580,66.4,,
10460,2009,1519,50.8,,
10460,2010,1490,53.96,,
10460,2011,1482,69.07,"34,899",2.88
10469,2001,2072,57.9,,
10469,2002,2109,58.7,,
10469,2003,1933,67.7,,
10469,2004,1919,66.5,,
10469,2005,1846,66.5,,
10469,2006,1793,67,,
10469,2007,1749,62.7,,
10469,2008,1715,62.9,,
10469,2009,1592,62.4,,
10469,2010,1681,56.87,,
10469,2011,1728,76.58,"69,954",2.84
10461,2001,2072,59.7,,
10461,2002,2109,23.55,,
10461,2003,1933,62,,
10461,2004,1919,56.7,,
10461,2005,1846,56.5,,
10461,2006,1793,51.5,,
10461,2007,1749,49.3,,
10461,2008,1715,48.7,,
10461,2009,1592,48.2,,
10461,2010,1681,63.7,,
10461,2011,1728,55.33,"69,608",2.44
10463,2001,1465,58.5,,
10463,2002,1356,44.1,,
10463,2003,1293,59.6,,
10463,2004,1239,67.8,,
10463,2005,1219,67.8,,
10463,2006,1125,68.8,,
10463,2007,1103,66.3,,
10463,2008,1085,66.2,,
10463,2009,1013,66,,
10463,2010,962,72.16,,
10463,2011,1020,69.16,"77,506",2.31
10471,2001,1465,,,
10471,2002,1356,,,
10471,2003,1293,,,
10471,2004,1239,,,
10471,2005,1219,,,
10471,2006,1125,,,
10471,2007,1103,,,
10471,2008,1085,,,
10471,2009,1013,,,
10471,2010,962,,,
10471,2011,1020,,"100,733",2.14
10467,2001,3121,57.4,,
10467,2002,3062,64.2,,
10467,2003,2877,70.8,,
10467,2004,2906,70.4,,
10467,2005,2697,70.5,,
10467,2006,2438,70.9,,
10467,2007,2425,66.4,,
10467,2008,2365,66.8,,
10467,2009,2219,67.1,,
10467,2010,2181,70.42,,
10467,2011,2174,68.63,"47,788",2.68
10458,2001,3121,58.3,,
10458,2002,3062,41.2,,
10458,2003,2877,56.6,,
10458,2004,2906,65.1,,
10458,2005,2697,65.1,,
10458,2006,2438,63.9,,
10458,2007,2425,63.4,,
10458,2008,2365,62.8,,
10458,2009,2219,63.3,,
10458,2010,2181,51.8,,
10458,2011,2174,66.34,"37,866",2.92
11224,2001,1811,,,
11224,2002,1831,,,
11224,2003,1710,,,
11224,2004,1508,70.4,,
11224,2005,1686,70.3,,
11224,2006,1624,60.5,,
11224,2007,1492,67.2,,
11224,2008,1453,65.7,,
11224,2009,1250,66,,
11224,2010,1323,41.7,,
11224,2011,1322,70.5,"47,290",2.34
11223,2001,2514,,,
11223,2002,2530,,,
11223,2003,2509,,,
11223,2004,2350,,,
11223,2005,2154,,,
11223,2006,1802,,,
11223,2007,1618,,,
11223,2008,1752,,,
11223,2009,1302,,,
11223,2010,1107,,,
11223,2011,1202,,"61,705",2.77
11229,2001,2514,,,
11229,2002,2530,63.6,,
11229,2003,2509,64,,
11229,2004,2350,66,,
11229,2005,2154,65.8,,
11229,2006,1802,70.4,,
11229,2007,1618,70.9,,
11229,2008,1752,74.6,,
11229,2009,1302,62.5,,
11229,2010,1107,75.9,,
11229,2011,1202,81.5,"70,010",2.61
11235,2001,2514,,,
11235,2002,2530,60.2,,
11235,2003,2509,60.9,,
11235,2004,2350,69.5,,
11235,2005,2154,69.8,,
11235,2006,1802,67.7,,
11235,2007,1618,,,
11235,2008,1752,68.8,,
11235,2009,1302,69.7,,
11235,2010,1107,58.06,,
11235,2011,1202,73.5,"67,317",2.3
11214,2001,2111,,,
11214,2002,2099,51.6,,
11214,2003,1976,54.2,,
11214,2004,1957,70.1,,
11214,2005,1985,70.1,,
11214,2006,1798,64.4,,
11214,2007,1583,68.6,,
11214,2008,1474,68.6,,
11214,2009,1332,67.7,,
11214,2010,1249,71.28,,
11214,2011,1212,75.6,"62,934",2.72
11234,2001,1743,,,
11234,2002,1701,,,
11234,2003,1720,,,
11234,2004,1634,,,
11234,2005,1652,,,
11234,2006,1645,,,
11234,2007,1577,,,
11234,2008,1589,,,
11234,2009,1440,,,
11234,2010,1335,,,
11234,2011,1339,,"85,437",2.81
11210,2001,1743,,,
11210,2002,1701,71.8,,
11210,2003,1720,71.8,,
11210,2004,1634,78.5,,
11210,2005,1652,78.6,,
11210,2006,1645,84,,
11210,2007,1577,79.3,,
11210,2008,1589,78.7,,
11210,2009,1440,78.2,,
11210,2010,1335,94.75,,
11210,2011,1339,80.9,"75,085",3
11204,2001,1873,35.9,,
11204,2002,1729,44.1,,
11204,2003,1636,45.7,,
11204,2004,1583,48.1,,
11204,2005,1570,48.1,,
11204,2006,1477,56.2,,
11204,2007,1422,63.4,,
11204,2008,1387,58.3,,
11204,2009,1363,72,,
11204,2010,1264,77.55,,
11204,2011,1273,76.25,"63,616",3.07
11218,2001,1873,,,
11218,2002,1729,,,
11218,2003,1636,,,
11218,2004,1583,,,
11218,2005,1570,,,
11218,2006,1477,"$",,
11218,2007,1422,"$",,
11218,2008,1387,,,
11218,2009,1363,,,
11218,2010,1264,,,
11218,2011,1273,,"72,945",2.95
11219,2001,1873,,,
11219,2002,1729,,,
11219,2003,1636,,,
11219,2004,1583,16.5,,
11219,2005,1570,21.9,,
11219,2006,1477,10.3,,
11219,2007,1422,3.5,,
11219,2008,1387,8.4,,
11219,2009,1363,58.8,,
11219,2010,1264,9.9,,
11219,2011,1273,16.7,"51,454",3.49
11203,2001,3655,,,
11203,2002,3344,43.1,,
11203,2003,2935,60.7,,
11203,2004,2782,68.5,,
11203,2005,2736,65.9,,
11203,2006,2619,64.2,,
11203,2007,2362,69.2,,
11203,2008,2310,66.8,,
11203,2009,2128,67.2,,
11203,2010,2120,74.76,,
11203,2011,2455,73.04,"60,629",2.81
11226,2001,3655,,,
11226,2002,3344,42,,
11226,2003,2935,54.1,,
11226,2004,2782,62.5,,
11226,2005,2736,63.2,,
11226,2006,2619,68.3,,
11226,2007,2362,62.8,,
11226,2008,2310,63.7,,
11226,2009,2128,63.3,,
11226,2010,2120,75.98,,
11226,2011,2455,64.7,"55,874",2.78
11209,2001,1687,,,
11209,2002,1670,50.6,,
11209,2003,1571,53.1,,
11209,2004,1488,57.8,,
11209,2005,1459,60.2,,
11209,2006,1436,71.6,,
11209,2007,1215,65.4,,
11209,2008,1174,70,,
11209,2009,986,59.2,,
11209,2010,914,68.2,,
11209,2011,950,74.9,"84,945",2.21
11220,2001,1687,,,
11220,2002,1670,66,,
11220,2003,1571,75,,
11220,2004,1488,76.8,,
11220,2005,1459,78.1,,
11220,2006,1436,10,,
11220,2007,1215,83.8,,
11220,2008,1174,83.3,,
11220,2009,986,70.3,,
11220,2010,914,87.1,,
11220,2011,950,87.5,"53,315",3.42
11228,2001,1687,,,
11228,2002,1670,,,
11228,2003,1571,,,
11228,2004,1488,,,
11228,2005,1459,,,
11228,2006,1436,,,
11228,2007,1215,,,
11228,2008,1174,,,
11228,2009,986,,,
11228,2010,914,,,
11228,2011,950,,"86,920",2.67
11236,2001,1745,,,
11236,2002,1708,51.2,,
11236,2003,1749,55.5,,
11236,2004,1557,66.6,,
11236,2005,1475,64,,
11236,2006,1415,60.7,,
11236,2007,1159,71.4,,
11236,2008,1193,61.2,,
11236,2009,1083,57.5,,
11236,2010,1023,57.48,,
11236,2011,1083,62.4,"73,164",2.91
11230,2001,3689,,,
11230,2002,3590,69.3,,
11230,2003,3466,65.6,,
11230,2004,3225,72.9,,
11230,2005,2985,69.5,,
11230,2006,2760,77.5,,
11230,2007,2466,80.6,,
11230,2008,2375,77.9,,
11230,2009,2077,66,,
11230,2010,1971,81.4,,
11230,2011,1912,83.1,"6,675",2.79
11225,2001,2599,,,
11225,2002,2421,45.5,,
11225,2003,2223,61.9,,
11225,2004,2025,69,,
11225,2005,2015,70.8,,
11225,2006,1863,67,,
11225,2007,1729,68.9,,
11225,2008,1654,68.8,,
